BASE,Authors,Title,Year,DOI,Link
ACADEMIC,"Hung, Tzu-Wei; Yen, Chun-Ping",On the person-based predictive policing of AI.,Sep2021,10.1007/s10676-020-09539-x,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=cookie,ip,shib,uid&db=iih&AN=153819641&lang=pt-br&site=ehost-live"
ACADEMIC,Kayaalp M,Patient Privacy in the Era of Big Data.,2018 jan. 20,10.4274/balkanmedj.2017.0966,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=cookie,ip,shib,uid&db=mdc&AN=28903886&lang=pt-br&site=ehost-live"
SCOPUS,"Chatterjee S., Sreenivasulu N.S.",Personal data sharing and legal issues of human rights in the era of artificial intelligence: Moderating effect of government regulation,2019,10.4018/IJEGR.2019070102,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098635165&doi=10.4018%2fIJEGR.2019070102&partnerID=40&md5=fbdd527add42f0c1e23ff21594002621
SCOPUS,"Altoukhov A.V., Kashkin S.Yu., Molchanov N.A.",Platform Law and Platform Solutions in the Fight against the Pandemic,2021,10.17803/2313-5395.2021.3.17.443-452,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125869804&doi=10.17803%2f2313-5395.2021.3.17.443-452&partnerID=40&md5=64180b481d0971a49989b5d6a7fa2be1
SCOPUS,Koulu R.,Proceduralizing control and discretion: Human oversight in artificial intelligence policy,2020,10.1177/1023263X20978649,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097017006&doi=10.1177%2f1023263X20978649&partnerID=40&md5=01427f0d8688b70294ef64c3156ce557
ACADEMIC,"Brown, Rafael Dean",Property ownership and the legal personhood of artificial intelligence.,jun.2021,10.1080/13600834.2020.1861714,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=cookie,ip,shib,uid&db=aph&AN=148040130&lang=pt-br&site=ehost-live"
SCOPUS,Di Tano F.,PROTECTION OF PERSONAL DATA AND SCIENTIFIC RESEARCH: A CONTROVERSIAL BUT NECESSARY RELATIONSHIP [Protezione dei dati personali e ricerca scientifica: Un rapporto controverso ma necessario],2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131334892&partnerID=40&md5=e0ef6ff7296cf709c660bb54210379a2
ACADEMIC,"PEREIRA SIQUEIRA, DIRCEU; CORRÊA PAVESI LARA, FERNANDA","QUARTA REVOLUÇÃO INDUSTRIAL, INTELIGÊNCIA ARTIFICIAL E A PROTEÇÃO DO HOMEM NO DIREITO BRASILEIRO.",2020,10.46560/meritum.v15i4.8223.,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=cookie,ip,shib,uid&db=aph&AN=148325377&lang=pt-br&site=ehost-live"
SCOPUS,Barkane I.,Questioning the EU proposal for an Artificial Intelligence Act: The need for prohibitions and a stricter approach to biometric surveillance,2022,10.3233/IP-211524,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132719755&doi=10.3233%2fIP-211524&partnerID=40&md5=ed70336f3ca16e3e871619b9afeb242b
SCOPUS,Voiculescu A.,Reflections on the EPSRC Principles of Robotics from the new far-side of the law,2017,10.1080/09540091.2017.1313818,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018625669&doi=10.1080%2f09540091.2017.1313818&partnerID=40&md5=be775e0ea44ba6933f8d4823bfb028e7
SCOPUS,Ahmad N.,Refugees and algorithmic humanitarianism: Applying artificial intelligence to RSD procedures and immigration decisions and making global human rights obligations relevant to AI governance,2020,10.1163/15718115-bja10007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111288568&doi=10.1163%2f15718115-bja10007&partnerID=40&md5=ed114628edf61a3ff463f3b99f88c40f
SCOPUS,"Stuurman K., Lachaud E.",Regulating AI. A label to complete the proposed Act on Artificial Intelligence,2022,10.1016/j.clsr.2022.105657,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124567808&doi=10.1016%2fj.clsr.2022.105657&partnerID=40&md5=4f1178b1941b8b2fd20b691614748869
SCOPUS,Karatzogianni A.,Research design for an integrated Artificial Intelligence ethical framework [ИНТЕГРАЦИЯ ЭТИЧЕСКИХ ОСНОВАНИЙ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА: ПЛАН ИССЛЕДОВАНИЯ],2021,10.14515/MONITORING.2021.1.1911,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103771025&doi=10.14515%2fMONITORING.2021.1.1911&partnerID=40&md5=3a3c713c258877992b51adde78bfeb2b
SCOPUS,Violante L.,"RULE OF LAW AND PUBLIC POWERS IN THE DIGITAL ERA. CYBERSOCIETY, CYBERCOMMUNITY, CYBER- STATE, CYBERSPACE: THIRTEEN THESIS [Diritto e potere nell’era digitale. Cybersociety, cybercommunity, cyberstate, cyberspace: Tredici tesi]",2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131322299&partnerID=40&md5=72ef71ffd816e1020639af571254a23f
SCOPUS,"Koerner A., Campo E.A.P.D.",Social Law and Digital Technologies [Direito Social e tecnologias digitais] [Derecho social y tecnologías digitales],2020,10.15332/625,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123005488&doi=10.15332%2f625&partnerID=40&md5=9093698f4108081b7765ffd754d78d87
SCOPUS,Weber R.H.,Socio-ethical values and legal rules on automated platforms: The quest for a symbiotic relationship,2020,10.1016/j.clsr.2019.105380,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075391793&doi=10.1016%2fj.clsr.2019.105380&partnerID=40&md5=2a61b5bfe295bcece1430a47a906c585
SCOPUS,Laguna de Paz J.C.,Some implications of the new global digital economy for financial regulation and supervision,2022,10.1057/s41261-022-00189-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124759015&doi=10.1057%2fs41261-022-00189-1&partnerID=40&md5=361d84b6e06049e810d3bf114b8251f1
SCOPUS,Zuiderveen Borgesius F.J.,Strengthening legal protection against discrimination by algorithms and artificial intelligence,2020,10.1080/13642987.2020.1743976,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082435746&doi=10.1080%2f13642987.2020.1743976&partnerID=40&md5=865232b0194a7a71dd82d5dcb60ba0c7
SCOPUS,"West L., Halvorson D.",Student Engagement and Deep Learning in the First-Year International Relations Classroom: Simulating a UN Security Council Debate on the Syrian Crisis,2021,10.1080/15512169.2019.1616298,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066779869&doi=10.1080%2f15512169.2019.1616298&partnerID=40&md5=7299c1bcbbf919e76b2a16c7eb5c0bd3
SCOPUS,"Andraško J., Hamuľák O., Mesarčík M., Kerikmäe T., Kajander A.","Sustainable data governance for cooperative, connected and automated mobility in the European Union",2021,10.3390/su131910610,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115735040&doi=10.3390%2fsu131910610&partnerID=40&md5=ba3beee4be4ba13f5087ae315892d0f7
SCOPUS,Molnar P.,Technology on the margins: AI and global migration management from a human rights perspective,2019,10.4337/cilj.2019.02.07,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084223021&doi=10.4337%2fcilj.2019.02.07&partnerID=40&md5=a2e1576b3b6e2d1004cdff50ce31f043
SCOPUS,"Razmetaeva Y., Barabash Y., Lukianov D.",THE CONCEPT OF HUMAN RIGHTS IN THE DIGITAL ERA: CHANGES AND CONSEQUENCES FOR JUDICIAL PRACTICE,2022,10.33327/AJEE-18-5.3-a000327,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136803846&doi=10.33327%2fAJEE-18-5.3-a000327&partnerID=40&md5=dfbbe70f400fa956b9061ebaf53f8e33
SCOPUS,"Popartan L.A., Cortés À., Garrido-Baserba M., Verdaguer M., Poch M., Gibert K.",The Digital Revolution in the Urban Water Cycle and Its Ethical–Political Implications: A Critical Perspective,2022,10.3390/app12052511,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125790620&doi=10.3390%2fapp12052511&partnerID=40&md5=1aa4107e8f5b50092c0c30e13d01185e
SCOPUS,Alkhasawneh A.,The future of biometric data protection in Jordan in light of the GDPR: Do we need to comply with the GDPR?,2020,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087318093&partnerID=40&md5=42b8d8a91b7f43c818f6953efb40574c
SCOPUS,Gibbons E.D.,Toward a More Equal World: The Human Rights Approach to Extending the Benefits of Artificial Intelligence,2021,10.1109/MTS.2021.3056295,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103097079&doi=10.1109%2fMTS.2021.3056295&partnerID=40&md5=15597f3168789580789d81d9795c92bb
SCOPUS,Katulić T.,Towards the trustworthy AI: Insights from the regulations on data protection and information security [Prema regulaciji umjetne inteligencije (UI): Uvidi i iskustva iz regulacije zaštite osobnih podataka i informacijske sigurnosti],2020,10.22572/mi.26.2.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101014126&doi=10.22572%2fmi.26.2.1&partnerID=40&md5=63243d4eb56686fecf131577789155eb
SCOPUS,"Demura M., Klepka D.",USING ARTIFICIAL INTELLIGENCE ALGORITHMS IN THE FIELD OF CRIMINAL JUDICIARY: INTERNATIONAL EXPERIENCE AND DOMESTIC PROSPECTS [ВИКОРИСТАННЯ АЛГОРИТМІВ ШТУЧНОГО ІНТЕЛЕКТУ У ГАЛУЗІ КРИМІНАЛЬНОГО СУДОЧИНСТВА: МІЖНАРОДНИЙ ДОСВІД ТА ВІТЧИЗНЯНІ ПЕРСПЕКТИВИ],2021,10.15407/SCINE17.05.095,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122487511&doi=10.15407%2fSCINE17.05.095&partnerID=40&md5=86e4c81b59cc6204874ddcccbcce78bb
,,,,,
,,,,,
LEGENDA,,,,,
DUPLICADO EM BASE DISTINTA,,,,,
DUPLICADO NA MESMA BASE,,,,,
