BASE,Authors,Title,Year,DOI,Link
SCOPUS,"Ntoutsi E., Fafalios P., Gadiraju U., Iosifidis V., Nejdl W., Vidal M.-E., Ruggieri S., Turini F., Papadopoulos S., Krasanakis E., Kompatsiaris I., Kinder-Kurlanda K., Wagner C., Karimi F., Fernandez M., Alani H., Berendt B., Kruegel T., Heinze C., Broelemann K., Kasneci G., Tiropanis T., Staab S.",Bias in data-driven artificial intelligence systems—An introductory survey,2020,10.1002/widm.1356,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078894838&doi=10.1002%2fwidm.1356&partnerID=40&md5=f56beb887eea8a90beedb2f5aa428c10
SCOPUS,"Gryz J., Rojszczak M.",Black box algorithms and the rights of individuals: No easy solution to the “explainability” problem,2021,10.14763/2021.2.1564,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111114776&doi=10.14763%2f2021.2.1564&partnerID=40&md5=53dc461e2bb2f9fd23e66faa4837c9ae
SCOPUS,Ams S.,Blurred lines: the convergence of military and civilian uses of AI & data use and its impact on liberal democracy,2021,10.1057/s41311-021-00351-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113819096&doi=10.1057%2fs41311-021-00351-y&partnerID=40&md5=87a63e5c253c61ac839f90c5f3c7ce8e
ACADEMIC,"Nemitz, Paul",Constitutional democracy and technology in the age of artificial intelligence.,11/28/2018,10.1098/rsta.2018.0089,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=cookie,ip,shib,uid&db=aph&AN=133538861&lang=pt-br&site=ehost-live"
SCOPUS,"Marsoof A., Luco A., Tan H., Joty S.","Content-filtering AI systems–limitations, challenges and regulatory approaches",2022,10.1080/13600834.2022.2078395,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130732105&doi=10.1080%2f13600834.2022.2078395&partnerID=40&md5=f43cbcba3a3e1680c9a4e59c1e55d0a3
ACADEMIC,Herrera-Ferrá K; Muñoz JM; Nicolini H; Saruwatari Zavala G; Martínez Bullé Goyri VM,Contextual and Cultural Perspectives on Neurorights: Reflections Toward an International Consensus.,2022 mar. 27,10.1080/21507740.2022.2048722,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=cookie,ip,shib,uid&db=mdc&AN=35341473&lang=pt-br&site=ehost-live"
SCOPUS,Weber-Lewerenz B.,Corporate digital responsibility (CDR) in construction engineering—ethical guidelines for the application of digital transformation and artificial intelligence (AI) in user practice,2021,10.1007/s42452-021-04776-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114689451&doi=10.1007%2fs42452-021-04776-1&partnerID=40&md5=12a604c0502e8c8091e0556a69f9c973
SCOPUS,Realing A.D.D.,Courts and Artificial Intelligence,2020,10.36745/IJCA.343,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090000344&doi=10.36745%2fIJCA.343&partnerID=40&md5=cd1102fd0c36c13501647f45d4a35d73
ACADEMIC,"Sharma, Ishan",Creating a model democratic alternative to the surveillance state.,Sep2022,10.1080/00963402.2022.2109325,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=cookie,ip,shib,uid&db=fsr&AN=158997912&lang=pt-br&site=ehost-live"
ACADEMIC,"Afnan, Masoud; Afnan, Michael Anis Mihdi; Liu, Yanhe; Savulescu, Julian; Mishra, Abhishek; Conitzer, Vincent; Rudin, Cynthia",Data solidarity for machine learning for embryo selection: a call for the creation of an open access repository of embryo data.,jul.2022,10.1016/j.rbmo.2022.03.015,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=cookie,ip,shib,uid&db=aph&AN=157353669&lang=pt-br&site=ehost-live"
